[word],[frequency]
bankpls,2
shaku,2
theft,2
mediumsized,2
period,2
increase,2
maximum,2
bcoz,2
abt,2
funding,2
unending,2
refer,2
cus,2
rectify,2
sim,2
seize,2
deserve,2
wake,2
hmmmm,2
mawni,2
wh,2
casrbc,2
casmvm,2
height,2
provider,2
regretful,2
arbitrary,2
mstcew,2
decoder,2
ledger,2
gon,2
ee,2
interestingly,2
anomaly,2
investigated,2
shameless,2
funniest,2
unconcerned,2
pray,2
legitscammers,2
lots,2
headed,2
artists,2
shade,2
shades,2
peoplebut,2
technical,2
stepped,2
drop,2
acmy,2
sth,2
twitt,2
captain,2
rowing,2
collaborate,2
fb,2
mountain,2
cunny,2
remain,2
delivered,2
heart,2
chop,2
document,2
og,2
wher,2
loud,2
client,2
damn,2
reversing,2
obvious,2
reasonable,2
strange,2
detect,2
january,2
facebook,2
dy,2
recharged,2
frm,2
payed,2
pill,2
openly,2
stolen,2
middle,2
professional,2
trend,2
ema,2
birth,2
airtel,2
gat,2
biko,2
ahn,2
side,2
politiciansthey,2
cue,2
communicate,2
declined,2
pretend,2
siri,2
count,2
teller,2
organizations,2
contacted,2
adesola,2
delta,2
yum,2
premium,2
fans,2
fraudu,2
hanging,2
immediatelyi,2
judge,2
frustr,2
removing,2
proof,2
logon,2
jos,2
plati,2
ado,2
monthstill,2
bigots,2
filed,2
destroyed,2
trades,2
mat,2
ate,2
wen,2
harassment,2
babies,2
bar,2
underground,2
shoddy,2
guaranteetrashbank,2
ser,2
wishes,2
faulty,2
verify,2
interbank,2
kindly,2
kilode,2
ikorodu,2
screenshots,2
fast,2
midnight,2
unsolicited,2
wondering,2
checked,2
performed,2
ingredient,2
nasty,2
representatives,2
silly,2
kid,2
music,2
gtconnect,2
ekiti,2
install,2
arepomagboro,2
axis,2
inefficient,2
cust,2
western,2
hav,2
store,2
query,2
passed,2
heaven,2
incessant,2
ball,2
place,2
banter,2
ge,2
snitch,2
teju,2
death,2
fun,2
rechargei,2
literally,2
fill,2
field,2
promo,2
mwallet,2
maintain,2
lag,2
indemnify,2
sign,2
deducts,2
si,2
claiming,2
walk,2
wis,2
root,2
endure,2
wednesday,2
street,2
leave,2
resolvingmine,2
discovered,2
language,2
info,2
monthvery,2
neve,2
extremely,2
complaintsi,2
thunder,2
distance,2
public,2
desperately,2
analog,2
bless,2
fakecurrency,2
egbeda,2
ebranch,2
withdrew,2
full,2
returned,2
ditching,2
