[word],[frequency]
lazy,4
executive,4
funded,4
brings,4
victoria,4
moments,4
xpress,4
sec,4
leveraging,4
rectified,4
observing,4
daddy,4
empower,4
persons,4
logged,4
millionaire,4
united,4
kingdom,4
represented,4
answered,4
absolute,4
guests,4
cbncyber,4
cenbank,4
presentation,4
takeaways,4
skill,4
processes,4
added,4
planning,4
educational,4
states,4
ordinary,4
beginning,4
surname,4
atms,4
goal,4
personalbusiness,4
schools,4
meter,4
peter,4
thunder,4
yu,4
decoder,4
pridenationz,4
nationz,4
center,4
alway,4
mu,4
explanations,4
joined,4
bakare,4
loading,4
experiences,4
unilagcampusstorm,4
notified,4
completed,4
fbnh,4
firstbankdigitallab,4
organised,4
apps,4
battle,4
firstbanknigeria,4
mentoring,4
nigerias,4
digitallyspeaking,4
magnate,4
touch,4
trulythefirst,4
guarantee,4
excellence,4
alex,4
pic,4
afford,4
dance,4
spit,4
bars,4
chizor,4
learning,4
anticipated,4
wear,4
named,4
shoes,4
room,4
starting,4
automatically,4
comedy,4
cake,4
xplore,4
holdings,4
wickedness,4
omo,4
shine,4
february,4
abt,4
ve,4
owe,4
sue,4
ignoring,4
reapon,4
mountain,4
robbery,4
lols,4
pease,4
som,4
endbankfraud,4
sublims,4
abule,4
recha,4
rerep,4
blesss,4
notch,4
auto,4
ruin,4
fall,4
mailbox,4
avoid,4
platinum,4
directive,4
watching,4
joseph,4
options,4
sale,4
kuku,4
meetleo,4
promising,4
identify,4
zenithbank,4
garri,4
individuals,4
debiting,4
reality,4
guaranty,4
hub,4
outrageous,4
petty,4
illuminati,4
burn,4
searching,4
temporary,4
regular,4
field,4
senior,4
excuse,4
titans,4
adamu,4
release,4
wealth,4
complaintinquiry,4
sky,4
damage,4
recruitment,4
unsolicited,4
tea,4
okuk,4
lasting,4
psychologist,4
bolt,4
gold,4
ahour,4
pocket,4
utilizing,4
conservation,4
techniques,4
civic,4
handled,3
lokoja,3
startimes,3
debitamtngn,3
despi,3
brown,3
themed,3
crime,3
smiling,3
fold,3
ooh,3
hackathon,3
mtchew,3
morningi,3
domicilary,3
problems,3
rubbish,3
nigeriawhich,3
ambassador,3
dy,3
ancestors,3
noon,3
performed,3
nin,3
cheques,3
approved,3
camp,3
cuz,3
accessbank,3
certified,3
classes,3
defrauding,3
jabi,3
potential,3
practices,3
verification,3
conclusion,3
kilode,3
secs,3
windowrug,3
boldly,3
discussion,3
informative,3
permitted,3
understanding,3
edition,3
speaks,3
model,3
sponsored,3
lekki,3
updates,3
hehe,3
rendered,3
blockchain,3
treasury,3
hottest,3
analyt,3
vice,3
joy,3
aunty,3
youths,3
concerns,3
collected,3
officers,3
easily,3
haha,3
graduate,3
silverhawks,3
withdrawals,3
favor,3
culture,3
topping,3
random,3
spoke,3
description,3
legit,3
dreams,3
dates,3
themi,3
compare,3
patiently,3
inf,3
shut,3
mama,3
thou,3
ends,3
target,3
hulk,3
participants,3
indiscriminately,3
reset,3
legally,3
colleagues,3
greater,3
kingenjoy,3
addy,3
hon,3
dearheavens,3
wished,3
golden,3
laid,3
recommend,3
loved,3
practically,3
discussed,3
cso,3
emerging,3
aiit,3
ll,3
younger,3
seamless,3
gov,3
opportunities,3
incessant,3
welldone,3
transactionthats,3
mobil,3
input,3
confused,3
unlock,3
tender,3
issued,3
bankplease,3
startup,3
spamming,3
due,3
rival,3
disable,3
fyi,3
cpc,3
sos,3
joshua,3
hashtag,3
os,3
accent,3
bal,3
ye,3
assume,3
toll,3
referred,3
reache,3
db,3
referring,3
guessing,3
march,3
refunding,3
lite,3
futile,3
warned,3
dragging,3
stated,3
river,3
birds,3
feather,3
solving,3
claims,3
excuses,3
amoun,3
depreciate,3
promises,3
spns,3
diamondxtra,3
matters,3
environment,3
affordable,3
prices,3
usd,3
ayodele,3
capacity,3
arrive,3
greet,3
agm,3
welcomed,3
kayode,3
akinkugbe,3
shadefrom,3
rightyou,3
cover,3
stirs,3
john,3
tax,3
citynews,3
shock,3
treating,3
kk,3
colored,3
neck,3
ties,3
policies,3
toooo,3
whatarefriendsfor,3
increased,3
acting,3
associate,3
slaves,3
jumia,3
mone,3
movies,3
beats,3
toy,3
danfo,3
functioning,3
countless,3
source,3
ish,3
beyondbanking,3
representative,3
father,3
premier,3
vis,3
farm,3
agro,3
pas,3
pour,3
isaac,3
morningplease,3
collect,3
displaying,3
nm,3
cooperation,3
unblock,3
li,3
futuredriven,3
intellectuals,3
conne,3
mercy,3
saved,3
youwe,3
mifa,3
perform,3
roasted,3
yield,3
correction,3
gradually,3
owerri,3
educate,3
relations,3
path,3
sends,3
acknowledging,3
mixup,3
dans,3
avec,3
corn,3
commercia,3
season,3
booked,3
taxify,3
loaded,3
wowweve,3
processing,3
evil,3
voice,3
cr,3
visite,3
chei,3
investors,3
pe,3
stranger,3
suffice,3
lying,3
deals,3
ng,3
wins,3
koboko,3
lit,3
farmers,3
saleh,3
returns,3
storage,3
slip,3
inconveniences,3
swiftly,3
radio,3
affect,3
