text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL
"RT @Mackogu01: Diamond Bank partners Facebook to boost SMEs 
Cc: @DiamondBankNG https://t.co/QAgA4GHceE",FALSE,0,NA,9/2/2018 11:52,FALSE,NA,1.03622E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SMEUKs,1,TRUE,FALSE,NA,NA,United Kingdom,en,http://pbs.twimg.com/profile_images/773883742079311872/5gNUkqlb_normal.jpg
"@DiamondBankNG I already have standing instructions for two children, I hope they both win!",FALSE,0,DiamondBankNG,9/2/2018 11:46,FALSE,1.03621E+18,1.03622E+18,159425389,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RexDeEmperor,0,FALSE,FALSE,NA,NA,"Lagos, Nigeria",en,http://pbs.twimg.com/profile_images/824771520761323521/N0BEk5gC_normal.jpg
"RT @DiamondBankNG: JUST FOR FUN
Do you know the answers to these #ThrowBackRiddles?
- I appear once in a minute and twice in a moment.
- I…",FALSE,0,NA,9/2/2018 11:33,FALSE,NA,1.03622E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vabsolutionsint,12,TRUE,FALSE,NA,NA,"Lagos, Nigeria",en,http://pbs.twimg.com/profile_images/912350893009498112/93yVd5cA_normal.jpg
#kadunafilmfestival #kadunafilmfestival @elrufai @TonyOElumelu @GovKaduna @HEDankwambo @Realomosexy… https://t.co/Diin6x5pmi,FALSE,0,NA,9/2/2018 11:21,TRUE,NA,1.03621E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ezzykash,0,FALSE,FALSE,NA,NA,Nigeria,en,http://pbs.twimg.com/profile_images/989110721635078150/CFRPpYj7_normal.jpg
"@DiamondBankNG Since someone has been using this bank for transactions, there's never a reward. Shioooor <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>",FALSE,0,DiamondBankNG,9/2/2018 11:13,FALSE,1.03621E+18,1.03621E+18,159425389,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",qawizzy,0,FALSE,FALSE,NA,NA,Nigeria ,en,http://pbs.twimg.com/profile_images/1011494527922819077/vOXaNr0k_normal.jpg
"RT @DiamondBankNG: Diamond Bank will be rewarding 30 lucky customers with N100,000 each in the 2nd edition of The Diamond Future &amp; Cool-Tee…",FALSE,0,NA,9/2/2018 11:13,FALSE,NA,1.03621E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tunby_,11,TRUE,FALSE,NA,NA,,en-gb,http://pbs.twimg.com/profile_images/1016422451465654272/KmbLqnAk_normal.jpg
"RT @DiamondBankNG: Diamond Bank will be rewarding 30 lucky customers with N100,000 each in the 2nd edition of The Diamond Future &amp; Cool-Tee…",FALSE,0,NA,9/2/2018 11:03,FALSE,NA,1.03621E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",abdulyinusa,11,TRUE,FALSE,NA,NA,"Abuja, Nigeria",en,http://pbs.twimg.com/profile_images/822880671022612480/XFSErbzE_normal.jpg
"RT @DiamondBankNG: Diamond Bank will be rewarding 30 lucky customers with N100,000 each in the 2nd edition of The Diamond Future &amp; Cool-Tee…",FALSE,0,NA,9/2/2018 11:02,FALSE,NA,1.03621E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CallMeGozie,11,TRUE,FALSE,NA,NA, Mind Your Business. ,en,http://pbs.twimg.com/profile_images/1035513144989237248/xZQ4Z7r2_normal.jpg
"Diamond Bank partners Facebook to boost SMEs 
Cc: @DiamondBankNG https://t.co/QAgA4GHceE",FALSE,0,NA,9/2/2018 9:24,FALSE,NA,1.03618E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mackogu01,1,FALSE,FALSE,NA,NA,<ed><U+00A0><U+00BC><ed><U+00B7><U+00B3><ed><U+00A0><U+00BC><ed><U+00B7><U+00AC>,en,http://pbs.twimg.com/profile_images/1038844091512053761/uoE17s_F_normal.jpg
"RT @DiamondBankNG: Friyay! Na the weekend dey rush us! 
Plan your weekend with Ada.
#TGIF #YourBank #DiamondBank https://t.co/WGFdoLqESu",FALSE,0,NA,9/2/2018 9:24,FALSE,NA,1.03618E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Adebayosamuelt3,15,TRUE,FALSE,NA,NA,Lagos ,en,http://pbs.twimg.com/profile_images/759673288742273024/E4dYijDy_normal.jpg
